,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,state of Sold-To Party
1233,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-10-12,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1236,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-10-09,1.0,BOX,V310,38774,Beaufort WTP,sa
1252,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-09-10,1.0,BOX,V305,38774,Beaufort WTP,sa
1262,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-08-23,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1273,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-07-19,1.0,BOX,V305,38774,Beaufort WTP,sa
1275,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-06-28,1.0,BOX,V305,38774,Beaufort WTP,sa
1279,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-06-26,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1285,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-05-31,1.0,BOX,V305,38775,Blackwood WTP,sa
1286,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-05-17,1.0,BOX,V305,38774,Beaufort WTP,sa
1296,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-04-24,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1299,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-04-12,1.0,BOX,V305,38774,Beaufort WTP,sa
1305,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-03-14,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1308,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-03-01,1.0,BOX,V305,38774,Beaufort WTP,sa
1313,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-02-16,1.0,BOX,V305,38775,Blackwood WTP,sa
1315,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-02-08,1.0,BOX,V305,38774,Beaufort WTP,sa
1318,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-01-30,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1324,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-01-18,1.0,BOX,V305,38774,Beaufort WTP,sa
1331,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-12-14,1.0,BOX,V305,38775,Blackwood WTP,sa
1333,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-12-08,2.0,BOX,V305,38774,Beaufort WTP,sa
1337,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-12-05,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1341,49061,Alano Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-11-14,1.0,BOX,V305,51465,Golden Grove WWTP,sa
1342,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-11-11,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1343,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-11-10,0.0,BOX,V305,49754,District Council of Yankalilla,sa
1345,49061,Alano Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-11-02,1.0,BOX,V305,51465,Golden Grove WWTP,sa
1346,49061,Alano Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-11-01,0.0,BOX,V305,51465,Golden Grove WWTP,sa
1349,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-10-18,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1350,49061,Alano Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-10-14,1.0,BOX,V305,51465,Golden Grove WWTP,sa
1359,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-10-06,1.0,BOX,V310,38774,Beaufort WTP,sa
1370,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-09-20,1.0,BOX,V305,38775,Blackwood WTP,sa
1371,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-09-20,1.0,BOX,V305,38774,Beaufort WTP,sa
1381,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2011-09-02,1.0,BOX,V305,49754,District Council of Yankalilla,sa
